Time,Instrument,Operation,OrderId,Side,Volume,Price,Lifespan
0.0,0,Insert,177349435,B,1000,1469,G
0.0,0,Insert,177349439,A,8000,1470,G
0.0,0,Insert,177349467,A,3000,1472,G
0.0,0,Insert,177349475,A,2000,1471,G
0.0,0,Insert,177349487,A,2000,1816,G
0.0,0,Cancel,177349435,,,,G
0.0,0,Insert,177349499,B,1000,1469,G
0.0,0,Insert,177349503,A,1000,1470,G
0.0,0,Cancel,177349467,,,,G
0.0,0,Cancel,177349499,,,,G
0.0,0,Insert,177349687,A,2000,1473,G
0.0,0,Insert,177349767,A,1000,1520,G
0.0,0,Cancel,177349439,,,,G
0.0,0,Insert,177349831,A,400,1470,G
0.0,0,Insert,177349855,B,1000,1466,G
0.0,0,Cancel,177349855,,,,G
0.0,0,Insert,177350607,A,8000,1470,G
0.0,0,Insert,177350623,B,1000,1454,G
0.0,0,Cancel,177350607,,,,G
0.0,0,Insert,177351455,B,1000,1469,G
0.0,0,Insert,177351459,B,1000,1469,G
0.0,0,Insert,177351463,B,1000,1466,G
0.0,0,Cancel,177349831,,,,G
0.0,0,Insert,177351471,A,400,1471,G
0.0,0,Cancel,177351455,,,,G
0.0,0,Cancel,177349687,,,,G
0.0,0,Insert,177351487,B,1000,1469,G
0.0,0,Insert,177351575,B,1000,1469,G
0.0,0,Cancel,177349503,,,,G
0.0,0,Insert,177351587,B,1000,1469,G
0.0,0,Insert,177351591,A,1000,1471,G
0.0,0,Insert,177351611,A,1000,1474,G
0.0,0,Cancel,177349487,,,,G
0.0,0,Insert,177351615,A,2000,1817,G
0.0,0,Insert,177351619,A,2000,1480,G
0.0,0,Insert,177351691,A,1000,1472,G
0.0,0,Cancel,177351575,,,,G
0.0,0,Cancel,177351587,,,,G
0.0,0,Cancel,177351487,,,,G
0.0,0,Cancel,177351463,,,,G
0.0,0,Insert,177351811,B,1000,1469,G
0.0,0,Insert,177351831,B,1000,1466,G
0.0,0,Insert,177351991,A,8000,1470,G
0.0,0,Cancel,177351811,,,,G
0.0,0,Insert,177351999,A,3000,1473,G
0.0,0,Cancel,177351471,,,,G
0.0,0,Cancel,177351615,,,,G
0.0,0,Insert,177352007,A,2000,1816,G
0.0,0,Cancel,177351611,,,,G
